what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273646899198
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273646912790
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273646914726
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273646917655
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273646936324
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273646955942
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647031136
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647046142
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647054951
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647056135
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273647058092
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273647058767
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273647062761
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273647067217
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273647071182
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647079126
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647093602
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647095601
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273647097784
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647107477
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647109594
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273647110680
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647113671
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273647115810
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273647130864
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647136451
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273647144774
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273647149950
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647150894
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647152292
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273647157132
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647165576
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647166475
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273647173848
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273647179679
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647209887
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647272562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647274427
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647297071
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647315737
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647330049
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647331991
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647332986
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647334265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647377222
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647396496
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647398712
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273647405040
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647405940
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647410415
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647411304
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647412349
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273647422465
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273647434212
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647445771
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647462178
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647464131
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273647466238
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647468206
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647470934
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273647474760
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647476330
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647477368
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273647481827
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647484928
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647490194
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647491181
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1273647491456
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647497400
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647497954
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273647498832
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647499495
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273647501331
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647502862
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647503169
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647503213
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273647531818
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647548154
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647551618
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273647553582
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647555067
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647556667
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647571308
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1273647571981
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.text.c.format",1273647587049
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647604097
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647607554
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647613091
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647621481
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647625165
started,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1273647631102
opened,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273647634355
activated,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273647634388
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647646251
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647651923
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647653447
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647656675
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647658746
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273647664980
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647672799
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647672850
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273647676866
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1273647682155
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647684990
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647687386
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647694710
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647703120
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647703142
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647703182
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647703203
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647706049
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273647706342
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647707881
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273647709714
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647712939
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647715851
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647717421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273647717573
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273647717634
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647720451
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273647724285
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647724552
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273647728955
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273647729509
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273647732612
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273647733154
