what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui.views.MakeView",1273285463988
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273285472122
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.201002161416,"org.eclipse.cdt.managedbuilder.ui",1273285481228
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.201002161416,"org.eclipse.cdt.managedbuilder.core",1273285481250
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.201002161416,"org.eclipse.cdt.managedbuilder.gnu.ui",1273285481463
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285481592
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285493860
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285521278
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285523411
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273285523448
activated,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1273285551771
activated,view,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui.views.MakeView",1273285552703
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1273285553277
activated,view,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui.views.MakeView",1273285553670
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285556112
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285562903
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285567782
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285571670
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273285574680
activated,view,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui.views.MakeView",1273285576860
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1273285580062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285583471
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285584809
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285592759
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285594725
activated,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1273285595594
activated,view,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui.views.MakeView",1273285596687
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1273285597506
activated,view,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui.views.MakeView",1273285598531
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273285600451
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285605511
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285628003
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1273285628044
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285633608
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285685121
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285693294
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285718190
opened,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1273285726964
activated,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1273285727013
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273285732681
closed,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1273285732681
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273285735369
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285769525
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285776697
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285790122
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285803382
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1273285803427
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285818497
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285821878
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285832737
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285834458
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285846502
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285860297
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1273285860341
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273285867852
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273285869004
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285916268
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285923634
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285926614
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285929531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285941943
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273285944658
opened,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273285959943
activated,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273285959992
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273285977235
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273285982345
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273285985640
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273285986717
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273285995471
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273286003246
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273286006300
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273286006317
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273286007565
