what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273648869949
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273648872056
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273648878832
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273648880212
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273648903738
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273648923512
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273648933213
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273648943606
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273648947129
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273648962561
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273648969211
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273649101794
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273649186501
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273649195909
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649199453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649206494
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649209974
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649212072
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649217505
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1273649217549
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649219170
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649219622
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649222759
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273649232236
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649232958
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649258295
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649261458
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649306793
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649312151
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649312744
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649313380
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649316625
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273649333059
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273649333387
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273649333423
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1273649337477
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.text.c.format",1273649349523
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273649364296
opened,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1273649364672
activated,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1273649364700
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273649367042
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649371277
closed,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1273649373274
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273649373469
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273649373540
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273649374435
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1273649376898
