what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273304939948
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273304939965
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273304949931
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273304953663
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1273304954639
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273304955526
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273304970355
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273304970890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273304973190
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273304978872
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273304983228
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273304983731
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273304998295
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273305005703
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273305009004
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305016344
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1273305022590
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305024449
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273305033064
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273305033096
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305035391
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305043303
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1273305043867
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273305044102
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305045025
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273305046518
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273305046518
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273305046549
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273305048233
opened,editor,org.eclipse.xtend.ui,0.7.2.v200908120436,"org.eclipse.xtend.ui.XtendEditor",1273305049896
activated,editor,org.eclipse.xtend.ui,0.7.2.v200908120436,"org.eclipse.xtend.ui.XtendEditor",1273305049916
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273305060280
opened,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273305060557
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273305060580
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305069555
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305070010
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305077636
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305088389
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273305090509
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305099204
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305103901
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273305104518
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305104954
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273305107423
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273305114308
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273305142923
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305145637
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273305149011
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273305151161
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273305160218
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273305160266
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305209724
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305362233
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273305367857
activated,editor,org.eclipse.xtend.ui,0.7.2.v200908120436,"org.eclipse.xtend.ui.XtendEditor",1273305368933
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273305370967
closed,editor,org.eclipse.xtend.ui,0.7.2.v200908120436,"org.eclipse.xtend.ui.XtendEditor",1273305372236
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273305374805
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.hippieCompletion",1273305388499
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.navigate.next",1273305390305
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.navigate.next",1273305392400
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305395706
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305402919
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305407654
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305407911
error,log,,,"Couldn't resolve type for 'Entity'. Did you forget to configure the corresponding metamodel?",1273305411211
error,log,,,"Couldn't resolve type for 'Entity'. Did you forget to configure the corresponding metamodel?",1273305413320
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305416669
error,log,,,"Couldn't resolve type for 'Entity'. Did you forget to configure the corresponding metamodel?",1273305420665
error,log,,,"Couldn't resolve type for 'Entity'. Did you forget to configure the corresponding metamodel?",1273305424585
error,log,,,"Couldn't resolve type for 'Entity'. Did you forget to configure the corresponding metamodel?",1273305426177
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305426833
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305435361
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305443584
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305459138
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305459410
error,log,,,"Couldn't resolve type for 'Entity'. Did you forget to configure the corresponding metamodel?",1273305460722
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305466160
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273305475604
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305475985
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305478744
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305485845
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305486123
error,log,,,"Couldn't resolve type for 'Entity'. Did you forget to configure the corresponding metamodel?",1273305487325
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305488046
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305511038
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305542065
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305542302
error,log,,,"no viable alternative at input '<EOF>' on line 0",1273305543134
error,log,,,"Couldn't resolve type for 'Entity'. Did you forget to configure the corresponding metamodel?",1273305545375
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305547343
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273305551585
closed,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273305551585
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273305551620
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273305552344
opened,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273305552757
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273305552795
error,log,,,"Couldn't resolve type for 'Entity'. Did you forget to configure the corresponding metamodel?",1273305556206
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305557834
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305562135
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305576808
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273305579657
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273305582269
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1273305611532
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273305611962
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305629747
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273305631907
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273305634856
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273305647215
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305659777
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305660077
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305668858
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273305669100
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273305672863
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273305690381
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273305693042
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273305696520
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273305708844
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273305716823
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273305719497
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273305719832
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273305719861
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273305723203
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273305725843
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273305731298
