what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273379833554
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273379845778
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273379857719
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273379857966
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273379865927
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273379872886
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273379874213
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273379877954
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273379878862
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273379885783
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273379890917
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273379906899
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273379907209
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273379912737
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273379914352
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273379941301
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273379943889
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273379946952
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273379951438
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273379953378
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273379956898
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1273379961172
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273379967039
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273379976303
opened,editor,org.eclipse.xtend.ui,0.7.2.v200908120436,"org.eclipse.xtend.ui.XtendEditor",1273379980028
activated,editor,org.eclipse.xtend.ui,0.7.2.v200908120436,"org.eclipse.xtend.ui.XtendEditor",1273379980050
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273379985621
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273379986967
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273379988933
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273379997935
closed,editor,org.eclipse.xtend.ui,0.7.2.v200908120436,"org.eclipse.xtend.ui.XtendEditor",1273379999254
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273379999403
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273379999449
