what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273621870237
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273621871875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273621871944
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273621873347
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273621873399
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273621884696
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273621886582
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273621897261
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273621901950
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273621938795
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273621941667
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273621948249
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273621950124
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273621952065
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273621966945
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273621967326
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273621969117
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273621975316
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273621975838
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273621990965
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273622014785
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273622028736
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1273622032721
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1273622032932
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622035272
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273622037743
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622041245
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622045856
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273622048424
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622049589
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622060424
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273622065395
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622065425
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622067671
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622074632
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273622083203
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622088473
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622098076
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622132549
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273622133841
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622134682
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622136097
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622136184
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622141958
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273622146555
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622149071
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622153207
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622153779
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622155307
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622155371
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273622156393
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622156393
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273622156437
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622158279
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622158627
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622158682
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273622162299
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622162299
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622163454
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622163750
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622163791
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1273622166832
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622176284
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622280826
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622280915
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273622281922
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622293734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622310040
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622310763
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622319756
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622325859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622337228
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622337553
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622344620
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622344743
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622346200
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273622347760
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622347761
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273622347798
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622348808
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622349453
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622349493
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1273622351330
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622367726
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622483185
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622483211
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622495716
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273622499705
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622499705
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273622525192
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622529113
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622533093
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273622537305
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273622547732
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622550377
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622551802
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273622554070
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273622565970
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273622575480
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622597602
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622622136
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622623677
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273622627120
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622635802
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622639407
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273622645245
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273622652491
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622654588
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622655931
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273622658072
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622660619
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622661193
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273622665477
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273622685954
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622711725
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622720708
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273622724400
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273622737909
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622743410
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273622743650
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273622787960
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273622788786
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273622789132
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273622792269
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273622795414
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273622802415
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273622807935
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273622809501
