what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273631335321
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631339041
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631352936
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273631376527
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631389860
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1273631389905
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631391018
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631394336
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631400258
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273631429747
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273631431926
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273631436011
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273631443795
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273631444496
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273631445653
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273631447348
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273631447663
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273631447696
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631459393
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631461311
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273631462935
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273631492259
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273631495667
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273631497954
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273631509293
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631516456
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631516759
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273631528099
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273631530520
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273631532629
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273631547094
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1273631549011
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273631549388
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273631549703
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273631551354
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273631553348
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631573536
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631582591
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273631586787
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1273631588791
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273631592351
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273631615829
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273631618246
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273631620862
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273631642065
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631646484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273631646733
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273631658997
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273631661154
