what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273281472627
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273281474882
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273281495340
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273281500830
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273281503056
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281503104
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281504585
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281504737
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281507754
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1273281510910
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273281517590
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273281519765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281519785
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281520807
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281520900
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281521350
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1273281537441
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273281541314
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273281541382
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273281554348
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273281554348
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273281568160
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1273281575055
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1273281575648
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1273281576475
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273281577242
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273281582347
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273281582829
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273281613664
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273281617907
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273281621410
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273281629875
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1273281631105
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273281632551
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273281633222
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273281637037
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273281640317
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273281642589
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281642607
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281643355
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281643493
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281643898
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273281680644
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273281688454
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273281691877
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273281694727
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273281696002
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273281698240
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273281703847
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281706680
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273281878985
